"remote_allowed","normalized_salary","title_idx_num","state_idx_num","formatted_work_type_idx_num","formatted_experience_level_idx_num"
"1.0","234000.0","0.0","0.0","1.0","2.0"
"0.0","89804.0","0.0","1.0","0.0","0.0"
"1.0","170000.0","0.0","0.0","1.0","0.0"
"0.0","49920.0","0.0","29.0","1.0","1.0"
"0.0","69000.0","0.0","5.0","0.0","1.0"
"0.0","46500.0","0.0","2.0","0.0","2.0"
"0.0","107800.0","0.0","1.0","0.0","0.0"
"0.0","77981.0","0.0","7.0","0.0","3.0"
"0.0","50000.0","0.0","15.0","0.0","2.0"
"0.0","44720.0","0.0","15.0","1.0","1.0"
"0.0","35360.0","342.0","20.0","0.0","1.0"
"0.0","65000.0","0.0","22.0","0.0","5.0"
"0.0","122500.0","0.0","1.0","0.0","0.0"
"1.0","171000.0","0.0","16.0","0.0","0.0"
"0.0","35360.0","119.0","20.0","0.0","2.0"
"0.0","160305.5","0.0","30.0","0.0","0.0"
"0.0","110000.0","691.0","18.0","0.0","0.0"
"0.0","47500.0","0.0","2.0","0.0","0.0"
"0.0","131622.0","0.0","14.0","0.0","2.0"
"0.0","40000.0","0.0","33.0","0.0","2.0"
"0.0","156000.0","458.0","1.0","1.0","1.0"
"0.0","87500.0","228.0","14.0","0.0","2.0"
"0.0","100000.0","0.0","16.0","0.0","0.0"
"0.0","66000.0","0.0","3.0","0.0","1.0"
"0.0","195000.0","0.0","34.0","0.0","4.0"
"0.0","117520.0","34.0","1.0","1.0","0.0"
"0.0","82500.0","0.0","8.0","0.0","0.0"
"0.0","130000.0","49.0","22.0","0.0","2.0"
"1.0","140000.0","144.0","0.0","0.0","0.0"
"1.0","155000.0","0.0","0.0","0.0","0.0"
"0.0","100000.0","0.0","1.0","0.0","0.0"
"1.0","57439.2","0.0","1.0","0.0","1.0"
"0.0","63679.5","0.0","0.0","0.0","0.0"
"0.0","38480.0","0.0","3.0","0.0","0.0"
"0.0","53851.2","0.0","32.0","0.0","1.0"
"0.0","57137.6","0.0","3.0","0.0","2.0"
"0.0","111560.80000000002","0.0","0.0","0.0","2.0"
"1.0","124800.0","0.0","0.0","1.0","2.0"
"0.0","52520.0","0.0","1.0","0.0","2.0"
"0.0","157500.0","895.0","11.0","0.0","0.0"
"0.0","155000.0","0.0","1.0","0.0","0.0"
"1.0","115900.0","0.0","0.0","0.0","2.0"
"0.0","170500.0","0.0","0.0","0.0","4.0"
"0.0","79768.0","8.0","94.0","0.0","0.0"
"0.0","216750.0","0.0","3.0","0.0","0.0"
"1.0","109450.0","0.0","0.0","0.0","2.0"
"0.0","55137.5","0.0","36.0","0.0","0.0"
"0.0","69599.5","0.0","1.0","0.0","2.0"
"1.0","180000.0","399.0","0.0","0.0","0.0"
"0.0","40000.0","0.0","4.0","0.0","1.0"
"0.0","155000.0","312.0","11.0","0.0","4.0"
"0.0","50000.0","0.0","4.0","0.0","1.0"
"0.0","87360.0","0.0","30.0","2.0","1.0"
"0.0","48464.0","0.0","1.0","0.0","0.0"
"0.0","41860.0","0.0","18.0","2.0","2.0"
"1.0","152500.0","0.0","0.0","0.0","0.0"
"0.0","217500.0","0.0","1.0","0.0","4.0"
"0.0","39520.0","0.0","1.0","0.0","1.0"
"0.0","155000.0","1055.0","24.0","0.0","4.0"
"0.0","150000.0","0.0","9.0","0.0","0.0"
"0.0","83250.0","0.0","33.0","0.0","2.0"
"1.0","415000.0","825.0","0.0","0.0","0.0"
"0.0","15000.0","0.0","27.0","0.0","1.0"
"0.0","650000.0","0.0","3.0","0.0","0.0"
"0.0","92527.5","0.0","3.0","0.0","0.0"
"0.0","43680.0","707.0","4.0","0.0","3.0"
"0.0","76500.0","0.0","53.0","0.0","2.0"
"0.0","43420.0","0.0","16.0","0.0","1.0"
"0.0","135200.0","89.0","1.0","0.0","0.0"
"0.0","41600.0","0.0","4.0","0.0","1.0"
"0.0","54741.0","0.0","17.0","0.0","2.0"
"1.0","155700.0","0.0","0.0","0.0","2.0"
"0.0","85000.0","1294.0","34.0","0.0","0.0"
"0.0","49920.0","366.0","16.0","0.0","1.0"
"0.0","42640.0","0.0","19.0","0.0","1.0"
"1.0","150000.0","106.0","0.0","0.0","0.0"
"0.0","90000.0","0.0","12.0","0.0","3.0"
"0.0","92500.0","48.0","11.0","0.0","0.0"
"0.0","36400.0","879.0","1.0","2.0","1.0"
"0.0","60000.0","10.0","36.0","0.0","1.0"
"0.0","65599.5","0.0","17.0","0.0","2.0"
"0.0","47840.0","1531.0","14.0","0.0","0.0"
"0.0","192500.0","0.0","1.0","0.0","2.0"
"0.0","161900.0","0.0","4.0","0.0","0.0"
"0.0","141594.0","0.0","0.0","0.0","2.0"
"0.0","45000.0","0.0","10.0","0.0","1.0"
"0.0","39520.0","0.0","18.0","0.0","1.0"
"0.0","40560.0","23.0","3.0","0.0","3.0"
"0.0","107900.0","0.0","14.0","6.0","0.0"
"1.0","79000.0","0.0","0.0","0.0","0.0"
"0.0","92366.0","0.0","75.0","0.0","1.0"
"0.0","244200.0","0.0","13.0","0.0","6.0"
"0.0","120588.0","1690.0","9.0","2.0","0.0"
"0.0","29120.0","2346.0","2.0","0.0","1.0"
"0.0","35880.0","0.0","12.0","0.0","1.0"
"0.0","115000.0","0.0","1.0","0.0","1.0"
"0.0","90000.0","71.0","23.0","0.0","0.0"
"0.0","160000.0","0.0","13.0","0.0","4.0"
"0.0","80000.0","630.0","6.0","0.0","0.0"
"0.0","59950.0","1965.0","3.0","0.0","2.0"
"1.0","84550.0","0.0","0.0","0.0","0.0"
"0.0","52000.0","0.0","14.0","0.0","5.0"
"0.0","80000.0","37.0","42.0","0.0","0.0"
"0.0","38480.0","90.0","12.0","0.0","2.0"
"0.0","62400.0","147.0","51.0","1.0","2.0"
"0.0","115000.0","0.0","1.0","0.0","0.0"
"0.0","94350.0","0.0","1.0","0.0","0.0"
"0.0","50960.0","184.0","0.0","1.0","0.0"
"0.0","70000.0","0.0","3.0","0.0","3.0"
"0.0","45760.0","0.0","1.0","0.0","2.0"
"0.0","72500.0","0.0","1.0","0.0","1.0"
"0.0","43846.4","1614.0","9.0","0.0","0.0"
"0.0","290912.5","0.0","30.0","0.0","4.0"
"0.0","88400.0","0.0","19.0","0.0","4.0"
"0.0","67600.0","0.0","34.0","1.0","3.0"
"0.0","54042.04","0.0","3.0","0.0","2.0"
"0.0","15000.0","521.0","34.0","0.0","2.0"
"0.0","49920.0","0.0","16.0","2.0","0.0"
"0.0","42640.0","0.0","1.0","0.0","1.0"
"0.0","132500.0","0.0","14.0","0.0","1.0"
"0.0","55000.0","470.0","7.0","0.0","3.0"
"0.0","100000.0","0.0","1.0","0.0","1.0"
"0.0","47840.0","0.0","33.0","2.0","1.0"
"1.0","187200.0","0.0","0.0","0.0","2.0"
"0.0","194900.0","0.0","1.0","0.0","2.0"
"0.0","80000.0","401.0","4.0","0.0","0.0"
"0.0","101920.0","0.0","4.0","1.0","0.0"
"0.0","42120.0","0.0","16.0","0.0","0.0"
"0.0","247750.0","0.0","1.0","0.0","0.0"
"0.0","75000.0","282.0","64.0","0.0","3.0"
"0.0","30000.0","1988.0","24.0","0.0","2.0"
"0.0","77500.0","0.0","1.0","0.0","0.0"
"0.0","160000.0","0.0","1.0","0.0","0.0"
"1.0","165000.0","0.0","1.0","0.0","0.0"
"0.0","54080.0","1609.0","18.0","0.0","1.0"
"0.0","83720.0","0.0","21.0","0.0","1.0"
"1.0","60000.0","0.0","64.0","0.0","2.0"
"0.0","35776.0","0.0","1.0","2.0","1.0"
"0.0","135262.4","0.0","12.0","0.0","1.0"
"0.0","119600.0","0.0","1.0","1.0","0.0"
"0.0","125000.0","31.0","24.0","0.0","0.0"
"1.0","60000.0","0.0","0.0","0.0","0.0"
"0.0","48880.0","810.0","14.0","0.0","1.0"
"0.0","87500.0","0.0","3.0","0.0","0.0"
"0.0","40560.0","289.0","14.0","0.0","2.0"
"0.0","135000.0","41.0","4.0","0.0","2.0"
"0.0","95076.8","0.0","12.0","1.0","3.0"
"0.0","67600.0","0.0","7.0","0.0","3.0"
"0.0","145600.0","2495.0","45.0","1.0","0.0"
"0.0","117500.0","0.0","15.0","0.0","0.0"
"1.0","208000.0","0.0","0.0","1.0","0.0"
"0.0","87500.0","6.0","3.0","0.0","3.0"
"0.0","46425.6","0.0","33.0","0.0","2.0"
"0.0","95000.0","1771.0","4.0","0.0","3.0"
"0.0","205000.0","961.0","4.0","0.0","2.0"
"0.0","45240.0","886.0","7.0","0.0","1.0"
"0.0","57500.0","256.0","19.0","0.0","2.0"
"0.0","225000.0","371.0","3.0","0.0","0.0"
"0.0","120000.0","1366.0","72.0","0.0","2.0"
"0.0","134399.19999999998","0.0","24.0","0.0","0.0"
"0.0","110000.0","25.0","1.0","0.0","0.0"
"0.0","40560.0","0.0","33.0","0.0","0.0"
"0.0","81450.0","0.0","3.0","0.0","3.0"
"0.0","86000.0","0.0","9.0","0.0","3.0"
"0.0","122532.0","0.0","40.0","0.0","4.0"
"1.0","210000.0","0.0","0.0","0.0","6.0"
"1.0","170560.0","535.0","11.0","1.0","0.0"
"0.0","135000.0","536.0","10.0","0.0","0.0"
"0.0","41600.0","0.0","3.0","4.0","5.0"
"0.0","66560.0","0.0","1.0","1.0","3.0"
"0.0","38896.0","0.0","1.0","2.0","2.0"
"0.0","63648.0","970.0","22.0","0.0","1.0"
"0.0","54080.0","124.0","21.0","1.0","1.0"
"0.0","67704.0","37.0","1.0","0.0","3.0"
"0.0","80000.0","0.0","51.0","0.0","3.0"
"1.0","115000.0","1293.0","0.0","1.0","1.0"
"0.0","43680.0","0.0","2.0","0.0","2.0"
"1.0","127500.0","0.0","7.0","0.0","2.0"
"0.0","80000.0","0.0","20.0","0.0","0.0"
"0.0","110000.0","0.0","2.0","0.0","2.0"
"0.0","137500.0","0.0","26.0","0.0","0.0"
"0.0","40040.0","39.0","1.0","2.0","2.0"
"0.0","64500.0","0.0","3.0","0.0","0.0"
